,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA
s1_1,0,1,0,1,3,1,1,7,13
s1_2,1,1,0,0,1,1,1,11,9
s1_4,0,3,0,0,3,1,2,8,8
s1_6,2,3,0,0,0,1,3,8,11
s1_8,1,1,0,0,4,0,2,15,6
s1_9,2,2,0,0,3,1,1,15,7
s1_10,1,2,0,0,2,2,4,6,9
s1_11,1,3,0,0,5,2,1,5,13
s1_12,0,0,1,0,2,2,1,6,2
s1_13,0,3,1,0,1,1,1,9,12
s1_14,0,1,0,0,0,1,1,9,4
s1_15,0,2,0,1,3,0,3,7,8
s1_16,1,1,0,0,0,1,1,3,4
s1_17,1,1,0,0,1,0,1,7,7
s1_18,0,3,0,2,2,0,0,12,9
s1_20,1,3,1,0,2,0,1,8,8
s1_21,1,0,0,0,1,2,1,9,3
s1_22,0,1,0,0,1,1,3,6,8
s1_23,0,2,0,0,1,1,5,7,4
s1_24,0,1,1,0,0,0,5,4,4
s1_25,1,5,0,0,2,0,2,8,10
s1_26,0,3,1,0,4,1,2,9,11
s1_27,0,3,1,0,1,1,1,8,7
s1_28,0,4,0,0,2,1,1,8,8
s1_29,0,2,0,0,2,0,1,10,11
s1_30,0,1,1,0,4,2,5,12,8
s1_32,1,3,1,1,2,0,1,13,13
s1_33,0,1,0,0,2,0,2,16,7
s1_34,1,1,0,0,1,2,0,14,8
s1_35,0,1,0,0,1,1,3,6,7
s1_36,1,3,0,0,2,0,5,12,7
s1_37,2,0,0,0,0,0,3,7,10
s1_38,0,3,0,3,1,2,3,6,3
s1_39,0,2,0,1,2,1,3,7,4
s1_40,0,2,0,0,1,0,3,14,5
s1_41,0,1,1,0,2,1,1,8,6
s1_42,1,2,0,0,2,1,1,8,8
s1_43,0,2,0,0,3,3,3,8,4
s1_44,0,3,0,0,0,1,0,11,9
s1_45,2,2,0,0,0,3,2,7,7
s1_46,1,4,1,0,0,0,0,5,9
s1_47,1,0,0,0,2,1,2,6,8
s1_48,0,6,0,0,1,2,0,8,6
s1_49,0,3,0,1,1,2,3,5,10
s1_50,2,1,0,0,0,0,1,10,9
s1_51,0,1,0,0,0,0,0,7,13
s1_52,0,2,0,0,0,1,0,0,4
s1_53,1,1,0,0,1,3,5,11,7
s1_54,1,5,1,0,1,1,0,13,14
s1_55,2,3,0,0,0,2,3,9,9
s1_56,1,2,0,0,3,1,0,12,4
s1_57,0,3,1,0,1,0,1,6,5
s1_58,0,1,0,0,1,0,2,6,1
s1_59,1,1,0,2,0,0,2,9,3
s1_60,0,4,0,0,4,1,0,7,3
s1_61,1,1,0,1,4,2,8,16,4
s1_62,0,4,0,0,1,0,0,6,7
s1_63,0,3,0,0,2,0,1,7,10
s1_64,0,4,0,0,4,0,1,5,8
s1_65,0,3,0,0,1,1,3,9,6
s1_66,0,2,0,0,3,2,3,12,8
s1_67,0,1,0,0,1,0,1,14,5
s1_68,1,4,1,0,0,0,6,9,16
s1_69,0,2,0,0,2,1,9,8,7
s1_71,0,2,0,0,2,1,3,9,11
s1_72,1,2,1,0,1,1,4,10,4
s1_73,1,3,0,0,2,2,4,14,3
s1_74,1,3,0,1,0,0,0,9,10
s1_75,0,6,1,0,1,0,1,10,9
s1_76,1,1,0,1,3,1,5,13,9
s1_77,0,1,0,0,1,0,5,5,4
s1_78,0,3,0,0,3,1,3,18,4
s1_79,1,0,0,0,2,1,2,10,6
s1_80,0,3,0,1,1,0,4,10,15
s1_81,0,0,0,0,0,0,1,3,4
s1_82,1,2,0,1,0,0,2,9,9
s1_83,1,2,0,1,3,0,2,9,10
s1_84,1,2,0,1,3,1,1,6,7
s1_85,0,1,0,0,3,2,3,20,7
s1_86,0,2,0,1,2,2,2,10,11
s1_87,1,2,0,1,1,0,5,14,8
s1_88,2,3,0,1,1,1,2,13,9
s1_89,2,3,0,0,1,2,0,12,4
s1_90,1,2,0,0,2,2,0,10,13
s1_91,1,3,1,1,2,2,8,15,8
s1_92,0,0,0,0,0,0,2,11,8
s1_93,1,1,0,0,0,0,4,10,10
s1_94,0,2,1,0,0,1,2,5,8
s1_95,0,3,0,0,2,1,2,9,14
s1_96,0,2,0,0,1,1,1,13,6
